1	the	96826
2	to	72115
3	a	69241
4	and	51755
5	of	47115
6	d	41497
7	you	36030
8	in	32664
9	e	29414
10	i	29358
11	for	28947
12	is	28302
13	nbsp	27372
14	c	24182
15	that	23627
16	it	23291
17	b	22697
18	this	21894
19	your	19487
20	s	19054
21	on	18828
22	f	18001
23	httpaddr	17308
24	with	15846
25	be	15464
26	are	13445
27	or	13349
28	from	13127
29	t	12511
30	have	12340
31	not	11948
32	as	11462
33	we	10733
34	if	10514
35	by	10125
36	will	9900
37	at	9780
38	can	9597
39	all	9173
40	emailaddr	8836
41	dollar	8738
42	our	8331
43	mv	7984
44	an	7686
45	but	7593
46	list	7450
47	more	7087
48	my	6898
49	email	6867
50	get	6517
51	do	6458
52	out	6278
53	they	6268
54	no	6215
55	free	6108
56	here	6057
57	was	5911
58	one	5863
59	so	5757
60	just	5455
61	has	5429
62	mail	5327
63	new	5261
64	up	5215
65	p	5100
66	about	5093
67	now	5042
68	there	4907
69	what	4828
70	only	4772
71	time	4768
72	any	4445
73	m	4387
74	click	4350
75	use	4349
76	which	4188
77	like	4170
78	please	4143
79	how	4122
80	people	4114
81	information	4075
82	their	4034
83	don	3977
84	would	3972
85	me	3792
86	l	3745
87	w	3669
88	business	3642
89	who	3627
90	some	3616
91	when	3601
92	us	3579
93	mailing	3510
94	other	3437
95	make	3432
96	been	3424
97	message	3364
98	than	3337
99	web	3252
100	money	3209
101	them	3208
102	also	3127
103	then	3063
104	over	2924
105	want	2902
106	address	2872
107	re	2854
108	x	2778
109	may	2693
110	into	2680
111	home	2669
112	linux	2635
113	work	2633
114	these	2616
115	internet	2596
116	ve	2571
117	see	2553
118	software	2547
119	send	2527
120	most	2525
121	cd	2524
122	wrote	2495
123	j	2491
124	need	2467
125	way	2436
126	its	2435
127	because	2433
128	even	2421
129	r	2397
130	receive	2396
131	know	2380
132	first	2363
133	name	2335
134	find	2325
135	go	2296
136	order	2287
137	com	2284
138	could	2276
139	he	2270
140	h	2261
141	system	2249
142	am	2241
143	spam	2233
144	should	2228
145	world	2214
146	n	2174
147	ll	2171
148	date	2169
149	using	2129
150	ca	2127
151	does	2123
152	users	2112
153	help	2105
154	had	2103
155	ad	2077
156	u	2077
157	much	2077
158	net	2015
159	line	1984
160	company	1970
161	good	1956
162	site	1954
163	check	1951
164	v	1948
165	many	1917
166	his	1917
167	today	1915
168	think	1915
169	those	1899
170	take	1896
171	very	1886
172	well	1868
173	phone	1866
174	best	1858
175	where	1845
176	subject	1822
177	right	1820
178	after	1810
179	size	1802
180	color	1797
181	file	1797
182	were	1780
183	read	1769
184	day	1762
185	service	1744
186	said	1735
187	through	1732
188	back	1730
189	cb	1730
190	same	1723
191	pt	1719
192	program	1712
193	de	1708
194	group	1705
195	bb	1688
196	every	1676
197	own	1669
198	o	1663
199	government	1662
200	year	1659
201	report	1652
202	removed	1640
203	url	1626
204	below	1622
205	k	1617
